dma,week,conversions,treated,post
DMA_001,1,536.4,1,0
DMA_001,2,588.4,1,0
DMA_001,3,620.8,1,0
DMA_001,4,605.8,1,0
DMA_001,5,601.2,1,0
DMA_001,6,600.9,1,0
DMA_001,7,641.1,1,0
DMA_001,8,656.0,1,0
DMA_001,9,606.4,1,0
DMA_001,10,582.6,1,0
DMA_001,11,584.4,1,0
DMA_001,12,656.0,1,0
DMA_001,13,631.1,1,0
DMA_001,14,637.5,1,0
DMA_001,15,599.2,1,0
DMA_001,16,620.4,1,0
DMA_001,17,629.4,1,0
DMA_001,18,638.7,1,0
DMA_001,19,625.2,1,0
DMA_001,20,610.6,1,0
DMA_001,21,613.4,1,0
DMA_001,22,650.5,1,0
DMA_001,23,628.3,1,0
DMA_001,24,632.4,1,0
DMA_001,25,598.8,1,0
DMA_001,26,554.2,1,0
DMA_001,27,673.2,1,1
DMA_001,28,663.2,1,1
DMA_001,29,684.5,1,1
DMA_001,30,740.5,1,1
DMA_001,31,686.3,1,1
DMA_001,32,725.0,1,1
DMA_001,33,680.1,1,1
DMA_001,34,655.1,1,1
DMA_001,35,674.1,1,1
DMA_001,36,702.9,1,1
DMA_001,37,704.6,1,1
DMA_001,38,657.9,1,1
DMA_001,39,676.5,1,1
DMA_001,40,645.6,1,1
DMA_001,41,694.1,1,1
DMA_001,42,712.7,1,1
DMA_001,43,687.2,1,1
DMA_001,44,678.4,1,1
DMA_001,45,704.8,1,1
DMA_001,46,712.3,1,1
DMA_001,47,712.4,1,1
DMA_001,48,721.6,1,1
DMA_001,49,722.1,1,1
DMA_001,50,753.3,1,1
DMA_001,51,756.0,1,1
DMA_001,52,729.7,1,1
DMA_002,1,540.3,0,0
DMA_002,2,561.9,0,0
DMA_002,3,588.1,0,0
DMA_002,4,582.5,0,0
DMA_002,5,572.5,0,0
DMA_002,6,596.2,0,0
DMA_002,7,589.4,0,0
DMA_002,8,618.3,0,0
DMA_002,9,611.5,0,0
DMA_002,10,602.2,0,0
DMA_002,11,616.1,0,0
DMA_002,12,640.3,0,0
DMA_002,13,604.4,0,0
DMA_002,14,625.1,0,0
DMA_002,15,616.2,0,0
DMA_002,16,626.2,0,0
DMA_002,17,604.1,0,0
DMA_002,18,618.3,0,0
DMA_002,19,636.6,0,0
DMA_002,20,593.7,0,0
DMA_002,21,583.4,0,0
DMA_002,22,581.4,0,0
DMA_002,23,580.7,0,0
DMA_002,24,612.7,0,0
DMA_002,25,569.2,0,0
DMA_002,26,587.9,0,0
DMA_002,27,602.7,0,1
DMA_002,28,595.2,0,1
DMA_002,29,575.9,0,1
DMA_002,30,584.3,0,1
DMA_002,31,579.8,0,1
DMA_002,32,570.8,0,1
DMA_002,33,569.0,0,1
DMA_002,34,616.3,0,1
DMA_002,35,586.7,0,1
DMA_002,36,619.6,0,1
DMA_002,37,560.1,0,1
DMA_002,38,569.0,0,1
DMA_002,39,545.2,0,1
DMA_002,40,557.5,0,1
DMA_002,41,614.2,0,1
DMA_002,42,568.8,0,1
DMA_002,43,621.2,0,1
DMA_002,44,562.1,0,1
DMA_002,45,570.6,0,1
DMA_002,46,589.9,0,1
DMA_002,47,601.0,0,1
DMA_002,48,626.6,0,1
DMA_002,49,623.3,0,1
DMA_002,50,612.3,0,1
DMA_002,51,624.5,0,1
DMA_002,52,627.4,0,1
DMA_003,1,568.0,0,0
DMA_003,2,576.1,0,0
DMA_003,3,621.8,0,0
DMA_003,4,571.9,0,0
DMA_003,5,647.7,0,0
DMA_003,6,615.1,0,0
DMA_003,7,612.6,0,0
DMA_003,8,648.6,0,0
DMA_003,9,668.7,0,0
DMA_003,10,666.0,0,0
DMA_003,11,657.8,0,0
DMA_003,12,673.1,0,0
DMA_003,13,619.9,0,0
DMA_003,14,646.1,0,0
DMA_003,15,640.1,0,0
DMA_003,16,684.0,0,0
DMA_003,17,652.4,0,0
DMA_003,18,677.0,0,0
DMA_003,19,670.4,0,0
DMA_003,20,641.5,0,0
DMA_003,21,645.7,0,0
DMA_003,22,681.7,0,0
DMA_003,23,638.4,0,0
DMA_003,24,654.3,0,0
DMA_003,25,633.9,0,0
DMA_003,26,640.9,0,0
DMA_003,27,643.9,0,1
DMA_003,28,626.9,0,1
DMA_003,29,621.2,0,1
DMA_003,30,644.2,0,1
DMA_003,31,620.0,0,1
DMA_003,32,619.4,0,1
DMA_003,33,615.9,0,1
DMA_003,34,632.7,0,1
DMA_003,35,653.2,0,1
DMA_003,36,665.0,0,1
DMA_003,37,621.5,0,1
DMA_003,38,680.8,0,1
DMA_003,39,620.0,0,1
DMA_003,40,664.7,0,1
DMA_003,41,632.1,0,1
DMA_003,42,633.3,0,1
DMA_003,43,640.5,0,1
DMA_003,44,659.5,0,1
DMA_003,45,677.9,0,1
DMA_003,46,685.8,0,1
DMA_003,47,660.1,0,1
DMA_003,48,666.1,0,1
